CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8420711,2017,2018-06-11,4402,2017-07-11,0807,192,4402,2,5,5,4402,0,0,0,,0,,"RT 1","WESTERN DR",18.00,S,N,B,-,Y,SCR,5,1,-,-,20.080,H,-,S,Y,3,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.05649348999999,36.960897330000002
8740567,2017,2018-11-19,4402,2017-04-04,0230,822,1,2,5,5,4402,0,0,0,,0,,"MC LAUGHLIN DR","COWELL STEVENSON RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,M,E,I,A,A,H,-,C,D,0,,,,,Y,Y,-,,0,1,0,0,0,0,0,0,0,"- ","- ",36.996160000000003,-122.05274,"SANTA CRUZ","SANTA CRUZ",-122.0542785,36.998559
8386263,2017,2018-04-09,4402,2017-05-25,1605,187,4402,4,5,5,4402,0,0,0,,0,000,"RT 1","CHRYSTAL TER",125.00,S,N,B,-,Y,SCR,5,1,-,-,18.350,H,-,N,Y,3,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.03423282999999,36.974403469999999
8092297,2016,2016-08-02,4402,2016-07-05,1757,179,,2,5,5,4402,0,0,0,,0,,"MCPHERSON ST","FAIR AV",65.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,E,A,A,H,-,-,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.04643837,36.960495639999998
8092266,2016,2016-08-02,4402,2016-07-09,1636,182,SANTA,6,5,5,4402,0,0,0,,0,00B,"BEACH ST","CLIFF ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,J,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.02017988,36.964170039999999
8137292,2016,2016-10-11,4402,2016-09-25,1504,170,4402,7,5,5,4402,0,0,0,,0,000,"WEST CLIFF DR","WOODROW AV",140.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.03673179,36.952941039999999
8337170,2017,2017-04-05,4402,2017-03-12,1744,163,4402,7,5,5,4402,0,0,0,,0,,"SOQUEL AV","OCEAN VIEW AV",6.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,03,22350,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.01680235000001,36.976416829999998
8340811,2017,2017-04-14,4402,2017-04-03,1302,170,4402,1,5,5,4402,0,0,0,,0,000,"ALMAR AV","OXFORD WY",140.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,D,C,A,-,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.04244660000001,36.954198300000002
8378170,2017,2017-06-16,4402,2017-05-10,1839,187,4402,3,5,5,4402,0,0,0,,0,000,"CENTER ST","LAUREL ST",130.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.02731980999999,36.969282739999997
8174020,2016,2016-12-02,4402,2016-11-02,0758,131,4402,3,5,5,4402,0,0,0,,0,,"CAYUGA ST","SOQUEL AV",2.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.01183811999999,36.979134719999998
